Final statisticsStock: MRNA, 
total_trades: 64, 
winning_trades: 35, 
losing_trades: 29, 
average_return: 0.000641439975050448, 
average_duration: 653.203125, 
final_balance: 747746.500000001, 
final_portfolio_value: 969964.060000001, 
sharpe_ratio: -0.3085023946010906, 


2024-11-25 03:17:50,690 - Starting GBMStrategy with initial capital: 1000000
2024-11-25 03:17:50,690 - Hyperparameters: {'threshold': 1.75, 'time_periods': 15, 'num_simulations': 100}
2024-11-25 03:20:15,454 - Short Sell 209.00 shares at 95.61 on 2024-03-01 15:15:00+00:00
2024-11-25 03:20:15,454 - Short Sell 210.00 shares at 94.88 on 2024-03-01 15:30:00+00:00
2024-11-25 03:20:15,454 - Short Sell 209.00 shares at 95.26 on 2024-03-01 15:45:00+00:00
2024-11-25 03:20:15,454 - Short Sell 209.00 shares at 95.53 on 2024-03-01 16:00:00+00:00
2024-11-25 03:20:15,454 - Short Sell 209.00 shares at 95.65 on 2024-03-01 16:15:00+00:00
2024-11-25 03:20:15,454 - Short Sell 207.00 shares at 96.23 on 2024-03-01 16:30:00+00:00
2024-11-25 03:20:15,454 - Short Sell 207.00 shares at 96.14 on 2024-03-01 16:45:00+00:00
2024-11-25 03:20:15,454 - Short Sell 207.00 shares at 96.31 on 2024-03-01 17:00:00+00:00
2024-11-25 03:20:15,454 - Short Sell 207.00 shares at 96.4 on 2024-03-01 17:15:00+00:00
2024-11-25 03:20:15,454 - Buy to cover -1874.00 shares at 96.79 on 2024-03-01 17:30:00+00:00 (Exit: Stop_loss, Profit: -1899.6499999999485, Duration: 135.0 minutes)
2024-11-25 03:20:15,454 - Long Buy 212.00 shares at 94.07 on 2024-03-04 14:30:00+00:00
2024-11-25 03:20:15,454 - Long Buy 208.00 shares at 94.05 on 2024-03-04 14:45:00+00:00
2024-11-25 03:20:15,454 - Long Buy 204.00 shares at 93.62 on 2024-03-04 15:00:00+00:00
2024-11-25 03:20:15,454 - Long Buy 201.00 shares at 93.23 on 2024-03-04 15:15:00+00:00
2024-11-25 03:20:15,454 - Long Buy 198.00 shares at 92.95 on 2024-03-04 15:30:00+00:00
2024-11-25 03:20:15,454 - Long Buy 194.00 shares at 92.74 on 2024-03-04 15:45:00+00:00
2024-11-25 03:20:15,455 - Long Buy 189.00 shares at 93.11 on 2024-03-04 16:00:00+00:00
2024-11-25 03:20:15,455 - Sell to close 1406.00 shares at 93.29 on 2024-03-04 16:15:00+00:00 (Exit: Signal, Profit: -170.66000000000614, Duration: 105.0 minutes)
2024-11-25 03:20:15,455 - Short Sell 213.00 shares at 93.59 on 2024-03-04 16:30:00+00:00
2024-11-25 03:20:15,455 - Short Sell 212.00 shares at 94.02 on 2024-03-04 16:45:00+00:00
2024-11-25 03:20:15,455 - Short Sell 211.00 shares at 94.51 on 2024-03-04 17:00:00+00:00
2024-11-25 03:20:15,455 - Short Sell 211.00 shares at 94.47 on 2024-03-04 17:15:00+00:00
2024-11-25 03:20:15,455 - Short Sell 210.00 shares at 94.75 on 2024-03-04 17:30:00+00:00
2024-11-25 03:20:15,455 - Short Sell 210.00 shares at 94.58 on 2024-03-04 17:45:00+00:00
2024-11-25 03:20:15,455 - Short Sell 210.00 shares at 94.64 on 2024-03-04 18:00:00+00:00
2024-11-25 03:20:15,455 - Short Sell 212.00 shares at 94.16 on 2024-03-04 18:15:00+00:00
2024-11-25 03:20:15,455 - Short Sell 210.00 shares at 94.84 on 2024-03-04 18:30:00+00:00
2024-11-25 03:20:15,455 - Short Sell 210.00 shares at 94.77 on 2024-03-04 18:45:00+00:00
2024-11-25 03:20:15,455 - Short Sell 210.00 shares at 94.93 on 2024-03-04 19:00:00+00:00
2024-11-25 03:20:15,455 - Short Sell 210.00 shares at 94.78 on 2024-03-04 19:15:00+00:00
2024-11-25 03:20:15,455 - Short Sell 209.00 shares at 95.12 on 2024-03-04 19:30:00+00:00
2024-11-25 03:20:15,455 - Short Sell 209.00 shares at 95.27 on 2024-03-04 19:45:00+00:00
2024-11-25 03:20:15,455 - Short Sell 208.00 shares at 95.41 on 2024-03-04 20:00:00+00:00
2024-11-25 03:20:15,455 - Buy to cover -3155.00 shares at 96.02 on 2024-03-04 20:45:00+00:00 (Exit: Stop_loss, Profit: -4311.799999999935, Duration: 255.0 minutes)
2024-11-25 03:20:15,456 - Long Buy 210.00 shares at 94.41 on 2024-03-05 14:45:00+00:00
2024-11-25 03:20:15,456 - Long Buy 206.00 shares at 94.31 on 2024-03-05 15:00:00+00:00
2024-11-25 03:20:15,456 - Long Buy 202.00 shares at 94.25 on 2024-03-05 15:15:00+00:00
2024-11-25 03:20:15,456 - Long Buy 198.00 shares at 94.2 on 2024-03-05 15:30:00+00:00
2024-11-25 03:20:15,456 - Long Buy 194.00 shares at 94.2 on 2024-03-05 15:45:00+00:00
2024-11-25 03:20:15,456 - Long Buy 192.00 shares at 93.58 on 2024-03-05 16:00:00+00:00
2024-11-25 03:20:15,456 - Long Buy 187.00 shares at 93.82 on 2024-03-05 16:15:00+00:00
2024-11-25 03:20:15,456 - Long Buy 183.00 shares at 93.83 on 2024-03-05 16:30:00+00:00
2024-11-25 03:20:15,456 - Long Buy 180.00 shares at 93.84 on 2024-03-05 16:45:00+00:00
2024-11-25 03:20:15,456 - Long Buy 176.00 shares at 94.14 on 2024-03-05 17:00:00+00:00
2024-11-25 03:20:15,456 - Sell to close 1928.00 shares at 94.65 on 2024-03-05 17:15:00+00:00 (Exit: Signal, Profit: 1123.9099999999607, Duration: 150.0 minutes)
2024-11-25 03:20:15,456 - Short Sell 210.00 shares at 94.7 on 2024-03-05 17:30:00+00:00
2024-11-25 03:20:15,456 - Short Sell 210.00 shares at 94.68 on 2024-03-05 17:45:00+00:00
2024-11-25 03:20:15,456 - Short Sell 209.00 shares at 95.03 on 2024-03-05 18:00:00+00:00
2024-11-25 03:20:15,456 - Short Sell 207.00 shares at 95.65 on 2024-03-05 18:15:00+00:00
2024-11-25 03:20:15,456 - Short Sell 208.00 shares at 95.28 on 2024-03-05 18:30:00+00:00
2024-11-25 03:20:15,456 - Short Sell 208.00 shares at 95.2 on 2024-03-05 18:45:00+00:00
2024-11-25 03:20:15,456 - Short Sell 210.00 shares at 94.65 on 2024-03-05 19:00:00+00:00
2024-11-25 03:20:15,456 - Short Sell 210.00 shares at 94.7 on 2024-03-05 19:15:00+00:00
